,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,1,Part1_0,0,2,2
2,2,Part2_0,0,3,3
3,3,Part3_0,0,4,4
4,4,Part4_0,0,5,5
5,1,Part0_0,2,7,5
6,2,Part2_1,3,6,3
7,3,Part3_1,4,8,4
8,0,Part4_0,5,10,5
9,4,Part3_0,5,10,5
10,2,Part1_0,6,11,5
11,3,Part2_0,8,13,5
12,1,Part4_0,10,15,5
13,4,Part4_1,10,15,5
14,0,Part3_0,10,15,5
15,2,Part0_0,11,16,5
16,3,Part2_1,13,18,5
17,1,Part1_1,15,17,2
18,4,Part3_1,15,20,5
19,0,Part4_1,15,20,5
20,2,Part4_0,16,21,5
21,1,Part3_0,17,22,5
22,3,Part1_0,18,23,5
23,4,Part2_0,20,25,5
24,0,Part0_1,20,21,1
25,2,Part1_1,21,26,5
26,0,Part3_1,21,26,5
27,1,Part1_2,22,24,2
28,3,Part0_0,23,28,5
29,1,Part4_1,24,29,5
30,4,Part2_1,25,30,5
31,2,Part3_0,26,31,5
32,0,Part2_0,26,31,5
33,3,Part3_2,28,32,4
34,1,Part0_1,29,34,5
35,4,Part4_2,30,35,5
36,2,Part1_2,31,36,5
37,0,Part2_1,31,36,5
38,3,Part4_0,32,37,5
39,1,Part3_1,34,39,5
40,4,Part1_0,35,40,5
41,2,Part4_1,36,41,5
42,0,Part0_2,36,37,1
43,3,Part1_1,37,42,5
44,0,Part4_2,37,42,5
45,1,Part2_0,39,44,5
46,4,Part0_0,40,45,5
47,2,Part0_1,41,46,5
48,0,Part1_0,42,47,5
49,3,Part3_3,42,46,4
50,1,Part2_1,44,49,5
51,4,Part3_2,45,50,5
52,3,Part3_4,46,50,4
53,2,Part3_1,46,51,5
54,0,Part0_3,47,48,1
55,0,Part0_4,48,49,1
56,1,Part0_2,49,54,5
57,4,Part4_3,50,55,5
58,3,Part1_2,50,55,5
59,0,Part3_2,50,55,5
60,2,Part2_2,51,54,3
61,1,Part4_2,54,59,5
62,2,Part2_3,54,57,3
63,0,Part4_3,55,60,5
64,3,Part4_1,55,60,5
65,4,Part1_1,55,60,5
66,2,Part0_2,57,62,5
67,1,Part0_3,59,64,5
68,0,Part1_1,60,65,5
69,4,Part4_4,60,65,5
70,3,Part3_5,60,64,4
71,2,Part2_4,62,65,3
72,3,Part0_1,64,69,5
73,1,Part0_4,64,69,5
74,0,Part0_5,65,66,1
75,4,Part3_3,65,70,5
76,2,Part4_2,65,70,5
77,0,Part4_4,66,71,5
78,1,Part3_2,69,74,5
79,3,Part2_2,69,74,5
80,2,Part0_3,70,75,5
81,4,Part3_4,70,75,5
82,0,Part3_3,71,76,5
83,1,Part4_3,74,79,5
84,3,Part3_6,74,78,4
85,4,Part1_2,75,80,5
86,2,Part0_4,75,80,5
87,0,Part0_6,76,77,1
88,0,Part0_7,77,78,1
89,0,Part3_4,78,83,5
90,3,Part2_3,78,83,5
91,1,Part0_5,79,84,5
92,4,Part4_5,80,85,5
93,2,Part2_5,80,83,3
94,3,Part0_2,83,88,5
95,0,Part0_8,83,84,1
96,2,Part3_2,83,88,5
97,0,Part1_2,84,89,5
98,1,Part4_4,84,89,5
99,4,Part3_5,85,90,5
100,3,Part2_4,88,93,5
101,2,Part2_6,88,91,3
102,1,Part1_3,89,91,2
103,0,Part4_5,89,94,5
104,4,Part0_1,90,95,5
105,2,Part4_3,91,96,5
106,1,Part3_3,91,96,5
107,3,Part3_7,93,97,4
108,0,Part0_9,94,95,1
109,0,Part0_10,95,96,1
